year,gender,name,count
2017,F,Analeigh,25
2017,F,Anali,41
2017,F,Analia,267
2017,F,Analiah,20
2017,F,Analicia,31
2017,F,Analisa,27
2017,F,Analise,72
2017,F,Analiyah,53
2017,F,Analucia,43
2017,F,Analy,35
2017,F,Analynn,5
2017,F,Anam,5
2017,F,Anamaria,21
2017,F,Anamarie,5
2017,M,Anand,15
2017,F,Ananya,95
2017,F,Anapaula,14
2017,F,Anara,5
2017,F,Anari,5
2017,M,Anas,86
2017,F,Anasofia,32
2017,F,Anastacia,23
2017,F,Anastasia,1789
2017,F,Anastasiya,5
2017,F,Anavictoria,20
2017,M,Anay,63
2017,F,Anaya,738
2017,F,Anayah,118
2017,F,Anayeli,30
2017,F,Anayla,5
2017,M,Anden,5
2017,M,Ander,66
2017,M,Anders,240
2017,M,Andersen,15
2017,F,Anderson,48
2017,M,Anderson,1180
2017,F,Andi,275
2017,M,Andi,6
2017,F,Andie,108
2017,M,Andre,1355
2017,F,Andrea,2294
2017,M,Andrea,5
2017,M,Andreas,93
2017,M,Andree,8
2017,M,Andrei,36
2017,M,Andres,1728
2017,M,Andrew,8264
2017,M,Andrey,48
2017,M,Andrez,5
2017,F,Andria,13
2017,M,Andrik,5
2017,F,Andromeda,13
2017,M,Andru,5
2017,F,Andy,5
2017,M,Andy,855
2017,M,Aneesh,6
2017,F,Anela,22
2017,F,Anella,5
2017,F,Anelly,5
2017,F,Anessa,23
2017,F,Anette,6
2017,F,Anevay,7
2017,M,Angad,13
2017,F,Angel,894
2017,M,Angel,5242
2017,F,Angela,1322
2017,F,Angeles,20
2017,F,Angeli,19
2017,F,Angelia,22
2017,F,Angelic,5
2017,F,Angelica,533
2017,F,Angelie,41
2017,F,Angelin,5
2017,F,Angelina,1534
2017,F,Angeline,169
2017,F,Angelique,292
2017,F,Angelise,15
2017,F,Angelita,9
2017,M,Angello,5
2017,M,Angelo,982
2017,F,Angely,58
2017,F,Angelyn,15
2017,F,Angelynn,5
2017,F,Angelys,6
2017,F,Angie,407
2017,M,Angus,40
2017,M,Anhad,5
2017,F,Anhar,6
2017,F,Ani,31
2017,F,Ania,28
2017,F,Aniah,50
2017,M,Anibal,19
2017,M,Anik,5
2017,F,Anika,453
